username,password,role,department,access_summary
admin,123456,Quản trị hệ thống,Hệ thống,Toàn bộ hệ thống + quản trị người dùng
giamdoc,123456,Ban giám đốc,Ban giám đốc,Dashboard + xem toàn bộ nghiệp vụ + phê duyệt cấp cao
muahang,123456,Mua hàng,Mua hàng,Mua hàng + xem tồn kho
truongmuahang,123456,Trưởng phòng Mua hàng,Mua hàng,Duyệt PR/PO cấp 1 + xem nghiệp vụ mua hàng
kho,123456,Kho,Kho vận,Toàn bộ Kho + lập PR
sanxuat,123456,Sản xuất,Sản xuất,Sản xuất + xem tồn kho + lập PR
qc,123456,QC / QA,QC/ATTP,QC/QA + xem dữ liệu kho liên quan
kinhdoanh,123456,Kinh doanh,Kinh doanh,CRM + bán hàng + công nợ khách hàng
truongkinhdoanh,123456,Trưởng phòng Kinh doanh,Kinh doanh,Kế thừa Kinh doanh + quyền duyệt bán hàng
ketoan,123456,Kế toán,Kế toán,Kế toán + PO/công nợ NCC + công nợ khách hàng
nhansu,123456,Nhân sự,Hành chính - Nhân sự,Nhân sự - tiền lương
baotri,123456,Bảo trì,Bảo trì - Vệ sinh,Bảo trì thiết bị
logistics,123456,Logistics,Kho vận,Logistics & Fleet + xem đơn bán
cuahang,123456,Nhà hàng / Cửa hàng,Nhà hàng & Cửa hàng,POS + bếp + menu + tồn/YCBX cửa hàng + báo cáo
giacong,123456,Gia công,Gia công,Gia công + tồn/xuất kho liên quan + QC gia công
rnd,123456,R&D,R&D,R&D + xem tồn kho
